,online,reservations,rating,votes,location,rest_type,cost_for_two,type
18556,Yes,No,3.7,21,Koramangala 5th Block,Quick Bites,750,Dine-out
2169,Yes,No,3.2,45,BTM,Quick Bites,300,Dine-out
23012,No,Yes,4.3,299,St. Marks Road,Other,1200,Dine-out
20393,Yes,No,3.7,52,Koramangala 4th Block,Cafe,450,Desserts
20724,Yes,Yes,4.2,217,Domlur,Casual Dining,1500,Buffet
17294,Yes,No,3.8,22,Banaswadi,Quick Bites,200,Dine-out
22652,Yes,No,3.7,34,Wilson Garden,Other,300,Delivery
14138,Yes,No,3.9,52,Jayanagar,Quick Bites,200,Delivery
18693,No,No,3.73178,0,Ejipura,Quick Bites,300,Dine-out
26417,Yes,No,3.9,88,Residency Road,Other,400,Desserts
11826,Yes,No,3.1,7,HSR,Quick Bites,500,Delivery
25833,No,No,4.1,1143,Brookefield,Quick Bites,500,Dine-out
16346,No,Yes,3.9,198,Kammanahalli,Casual Dining,700,Delivery
